date,rate confirmed,acc_test,acc_negative,acc_confirmed,acc_released,acc_deceased,new_test,new_negative,new_confirmed,new_released,new_deceased
03/04/20,438,136707,102965,5328,41,32,10856,17481,516,7,4
03/05/20,518,146541,118965,5766,88,35,9834,16000,438,47,3
